controlId,title,family,description,subFamily
AC.PMPE.V1,Password management policy enforced,ACCESS CONTROL AND AUTHORIZATION,"Strictly enforce the organization’s password management policy to guarantee compliance with security standards. Enforcing this policy includes implementing technical controls, monitoring adherence, and responding to non-compliance.",ACCESS CONTROL AND AUTHORIZATION
AC.PMPE.V1,Password management policy established,ACCESS CONTROL AND AUTHORIZATION,"Enforce a password management policy that mandates strong and complex passwords, and prohibits the reuse of previously used passwords. This policy helps protect user accounts from unauthorized access due to weak or compromised passwords.",ACCESS CONTROL AND AUTHORIZATION
AC.SA.V1,Secure authentication,ACCESS CONTROL AND AUTHORIZATION,Secure authentication technologies and procedures shall be implemented based on information access restrictions and the topic-specific policy on access control.,ACCESS CONTROL AND AUTHORIZATION
AC.SDCS.V1,Signature during continuous session captured,ACCESS CONTROL AND AUTHORIZATION,"For a series of signings in a single, continuous, controlled session: require full credentials for the first signing; allow subsequent signings with at least one component (e.g., PIN) that only the individual can execute.",ACCESS CONTROL AND AUTHORIZATION
AC.SOCS.V1,Signature outside continuous session captured,ACCESS CONTROL AND AUTHORIZATION,"When signings are not in a single continuous session, require all electronic signature components for each signing.",ACCESS CONTROL AND AUTHORIZATION
AC.UICM.V1,Unique identification codes managed,ACCESS CONTROL AND AUTHORIZATION,Manage IDs/passwords securely with lifecycle controls to prevent misuse.,ACCESS CONTROL AND AUTHORIZATION
AC.USIA.V1,Unique signature identification assigned,ACCESS CONTROL AND AUTHORIZATION,"Ensure each e‑signature is unique, non‑transferable, and tied to one individual.",ACCESS CONTROL AND AUTHORIZATION
AC.UUII.V1,Unique user identification implemented,ACCESS CONTROL AND AUTHORIZATION,"Enforce the use of unique user identification for all individuals and systems accessing environments where protected information is stored, processed, or transmitted.",ACCESS CONTROL AND AUTHORIZATION
AC.URTG.V1,Use restricted to genuine owners,ACCESS CONTROL AND AUTHORIZATION,Ensure electronic signatures (non‑biometric) are used only by their genuine owners.,ACCESS CONTROL AND AUTHORIZATION
DM.ADGE.V1,AI data governance established,DATA MANAGEMENT AND PROTECTION,"Establish and maintain data governance processes for AI systems covering data acquisition, quality, provenance, preparation, and lifecycle management.",DATA MANAGEMENT AND PROTECTION
DM.ADLT.V1,AI data lineage tracked,DATA MANAGEMENT AND PROTECTION,"Track and document data lineage throughout the AI system lifecycle, including data origin, transformations, usage, and flow from source to AI model outputs.",DATA MANAGEMENT AND PROTECTION
DM.ADQA.V1,AI data quality assessment performed,DATA MANAGEMENT AND PROTECTION,"Assess and ensure the quality of data used for AI systems meets defined requirements for accuracy, completeness, consistency, and fitness for purpose.",DATA MANAGEMENT AND PROTECTION
DM.AMVP.V1,AI model validation performed,DATA MANAGEMENT AND PROTECTION,"Validate AI models to ensure they meet intended objectives, perform as expected in real-world conditions, and are fit for their intended purpose and use cases.",DATA MANAGEMENT AND PROTECTION
DM.ASDP.V1,AI system development process established,DATA MANAGEMENT AND PROTECTION,"Define and document processes for the responsible design, development, verification, validation, and deployment of AI systems throughout their lifecycle.",DATA MANAGEMENT AND PROTECTION
DM.ASTP.V1,AI system testing performed,DATA MANAGEMENT AND PROTECTION,"Perform comprehensive testing of AI systems to verify they meet specifications, function correctly, and are secure and reliable throughout their lifecycle.",DATA MANAGEMENT AND PROTECTION
DM.AUOI.V1,Acceptable use of information and other associated assets,DATA MANAGEMENT AND PROTECTION,"Rules for the acceptable use and procedures for handling information and other associated assets shall be identified, documented and implemented.",DATA MANAGEMENT AND PROTECTION
DM.ARHW.V1,Automated Request Handling Workflow,DATA MANAGEMENT AND PROTECTION,"Establish an automated workflow for handling consumer privacy requests in compliance with the CCPA. The system captures, validates, and routes requests—such as access, deletion, or opt-out of sale—ensuring timely and accurate processing. Audit trails and reporting capabilities are maintained to demonstrate compliance and support ongoing monitoring and remediation.",DATA MANAGEMENT AND PROTECTION
DM.COI.V1,Classification of information,DATA MANAGEMENT AND PROTECTION,"Information shall be classified according to the information security needs of the organization based on confidentiality, integrity, availability and relevant interested party requirements.",DATA MANAGEMENT AND PROTECTION
DM.CLTN.V1,Clear Link to Not Share Information,DATA MANAGEMENT AND PROTECTION,"This control ensures that the website homepage includes clear and accessible links titled “Do Not Sell or Share My Personal Information” and “Limit the Use of My Sensitive Personal Information” in compliance with the California Consumer Privacy Act (CCPA) and its amendments (CPRA). These links allow consumers to easily exercise their rights to opt out of the sale or sharing of their personal data and to restrict the use of sensitive personal information. The control verifies that the links are prominently displayed, functional, and direct users to appropriate mechanisms or preference centers for submitting their requests.",DATA MANAGEMENT AND PROTECTION
DM.COND.V1,Collect Only Necessary Data,DATA MANAGEMENT AND PROTECTION,"Collect only the personal information necessary to fulfill its stated business purposes, in alignment with CCPA principles. Data minimization practices are applied across all collection points to limit exposure and reduce privacy risks. Regular reviews are conducted to ensure that unnecessary data is not captured or retained, supporting compliance and responsible data handling.",DATA MANAGEMENT AND PROTECTION
DM.CFMC.V1,Compliance for multiple covered functions managed,DATA MANAGEMENT AND PROTECTION,Entities performing multiple covered functions must establish clear processes to ensure each function adheres to its specific standards and requirements.,DATA MANAGEMENT AND PROTECTION
DM.CPIA.V1,Conduct Privacy Impact Assessments for New Processes,DATA MANAGEMENT AND PROTECTION,"The organization must conduct privacy impact assessments (PIAs) for new processes being introduced to the data flow. Some example processes may be introducing a new plan for marketing emails, introducing a new payment processor, or introducing a new system for data analytics. This document should be approved by the privacy officer before action takes place.",DATA MANAGEMENT AND PROTECTION
DM.CCCC.V1,Confidential customer communication channel created,DATA MANAGEMENT AND PROTECTION,Establish and maintain a secure communication channel for all customer interactions involving protected information.,DATA MANAGEMENT AND PROTECTION
DM.CFCA.V1,Consent for collecting and managing data obtained,DATA MANAGEMENT AND PROTECTION,"Implement a consent mechanism that is freely given, specific, informed, and unambiguous. The consent requests must be clearly distinguishable from other matters, in an easily accessible form, using clear and simple language. For sensitive data, obtain explicit consent unless another exception applies.Maintain a record of obtained consents, including what the data subject has consented to and when.Regularly review and renew consents, especially if your purposes for processing change.Do not make services conditional on consent unless the data is necessary for that service.",DATA MANAGEMENT AND PROTECTION
DM.CATM.V1,Cookie And Tracker Management,DATA MANAGEMENT AND PROTECTION,"This control requires the implementation of a Cookie and Tracker Management Platform (CMP) to manage user consent for cookies and tracking technologies in compliance with CCPA and related privacy regulations. The CMP collects, records, and enforces user preferences for data collection, sharing, and marketing purposes. It also provides mechanisms for users to review and update their consent, while maintaining audit logs to demonstrate regulatory compliance.",DATA MANAGEMENT AND PROTECTION
DM.CRDP.V1,Criminal record data processing managed,DATA MANAGEMENT AND PROTECTION,"If you process any data related to criminal convictions or offenses, verify that you have the legal authority to process this data.Implement strict access controls and security measures for this sensitive data. Document your legal basis and safeguards for processing criminal record data.Make sure you're not maintaining a comprehensive register of criminal convictions unless under official authority.",DATA MANAGEMENT AND PROTECTION
DM.CKLM.V1,Cryptographic key lifecycle managed,DATA MANAGEMENT AND PROTECTION,"Develop and document detailed key management policies and procedures covering the entire key lifecycle, including:- Implement secure key generation processes using strong cryptographic algorithms.- Establish secure methods for key distribution and storage.- Define and enforce key usage policies, including access controls and key rotation schedules.- Implement processes for secure key backup and recovery.- Establish procedures for key revocation, replacement, and destruction when necessary.- Implement split knowledge and dual control for manual cleartext key operations.- Prevent unauthorized substitution of cryptographic keys.- Require formal acknowledgment of responsibilities from key custodians.Regularly review and update key management practices to align with industry standards.",DATA MANAGEMENT AND PROTECTION
DM.CKAA.V1,Cryptographic keys and application secrets secured,DATA MANAGEMENT AND PROTECTION,"Implement and maintain robust procedures to securely manage cryptographic keys and application secrets used for protecting sensitive data throughout their lifecycle.Develop and document a comprehensive key management policy and procedures, including:- Implement secure key generation processes using industry-standard algorithms and random number generators.- Establish secure key storage mechanisms, such as hardware security modules (HSMs) or encrypted key stores.- Enforce strict access controls to limit key/secret access to authorized personnel only.- Implement key rotation and expiration policies to minimize the impact of potential key compromises.- Set up secure key/secret distribution and transmission processes.- Establish and maintain an inventory of all cryptographic keys and their purposes.- Implement secure key/secret backup and recovery procedures.- Ensure proper destruction of retired or compromised keys and secrets.Regularly review and update key management practices to align with current industry standards and best practices.",DATA MANAGEMENT AND PROTECTION
DM.DDE.V1,Data deletion enforced,DATA MANAGEMENT AND PROTECTION,"Implement and maintain procedures to securely delete data when it is no longer needed, in compliance with data protection regulations and company policies.",DATA MANAGEMENT AND PROTECTION
DM.DEU.V1,Data encrypted at rest,DATA MANAGEMENT AND PROTECTION,All sensitive data is encrypted when stored on systems or devices.,DATA MANAGEMENT AND PROTECTION
DM.ADEI.V1,Data encrypted in-transit,DATA MANAGEMENT AND PROTECTION,"All data is encrypted when transmitted over networks, both within the organization's internal network and external connections.",DATA MANAGEMENT AND PROTECTION
DM.DIM.V1,Data inventory maintained,DATA MANAGEMENT AND PROTECTION,"Establish and maintain an accurate, detailed, and up-to-date inventory of all data assets. This can include data stored in databases, file shares, and cloud storage.",DATA MANAGEMENT AND PROTECTION
DM.DLAT.V1,Data labeled according to classification level,DATA MANAGEMENT AND PROTECTION,All data is labeled based on its classification level. This ensures that appropriate access controls and handling procedures are applied to protect information.,DATA MANAGEMENT AND PROTECTION
DM.DLP.V1,Data leakage prevention,DATA MANAGEMENT AND PROTECTION,"Data leakage prevention measures shall be applied to systems, networks and any other devices that process, store or transmit sensitive information.",DATA MANAGEMENT AND PROTECTION
DM.DMAR.V1,Data management and retention policy established,DATA MANAGEMENT AND PROTECTION,"A data management and retention policy is established, outlining guidelines for how long data should be retained and how it should be managed throughout its lifecycle.",DATA MANAGEMENT AND PROTECTION
DM.DM.V1,Data masking,DATA MANAGEMENT AND PROTECTION,"Data masking shall be used in accordance with the organization's topic-specific policy on access control and other related topic-specific policies, and business requirements, taking applicable legislation into consideration.",DATA MANAGEMENT AND PROTECTION
DM.DMU.V1,Data masking procedures used,DATA MANAGEMENT AND PROTECTION,"Implement data masking procedures to replace sensitive or personally identifiable information with fictitious but realistic data. Ensure data masking is applied consistently across all non-production environments, such as development, testing, and training systems, to protect the confidentiality of sensitive data.",DATA MANAGEMENT AND PROTECTION
DM.DPIA.V1,Data processing integrity and output validated,DATA MANAGEMENT AND PROTECTION,"Define and establish quality control measures to verify the completeness, accuracy, and timeliness of your output. This can look like implementing automated data validation checks, setting up data reconciliation processes, establishing review and approval workflows for critical outputs, creating data quality dashboards for real-time monitoring, and implementing version control systems for data processing scripts. Set up real-time monitoring of these measures and create error logs and incident reports where applicable.",DATA MANAGEMENT AND PROTECTION
DM.EDRP.V1,Data retention policy enforced,DATA MANAGEMENT AND PROTECTION,"The data retention policy is actively enforced, ensuring that data is retained for the appropriate duration and disposed of securely when it reaches the end of its retention period.",DATA MANAGEMENT AND PROTECTION
DM.DTME.V1,Data transfer mechanisms established,DATA MANAGEMENT AND PROTECTION,"Establish proper data transfer mechanisms to protect personal data when it's transferred across borders or to third parties.Identify all instances where personal data is transferred outside your organization or to different jurisdictions. Assess the adequacy of data protection measures in recipient countries or organizations.Implement appropriate transfer mechanisms (e.g., standard contractual clauses, binding corporate rules) based on the nature of the transfer and the recipient.Establish processes to regularly review and update transfer mechanisms as regulatory requirements or organizational practices change. Maintain documentation of all data transfer arrangements and their legal bases.",DATA MANAGEMENT AND PROTECTION
DM.DPFP.V1,De-identification process for PHI established,DATA MANAGEMENT AND PROTECTION,Establish and implement a documented process for de-identifying protected health information (PHI) to comply with HIPAA requirements and enable the use or disclosure of data without patient authorization if required.,DATA MANAGEMENT AND PROTECTION
DM.IRTC.V1,Establish Right-To-Correct Request Handling,DATA MANAGEMENT AND PROTECTION,"The organization must configure a system to handle Right-to-correct management. Under CCPA, the user has a right to have their inaccurate data corrected upon request.",DATA MANAGEMENT AND PROTECTION
DM.EPIM.V1,External privacy inquiries managed,DATA MANAGEMENT AND PROTECTION,"Establish and maintain a system for handling all privacy-related inquiries, including general questions, complaints, disputes, and specific requests for personal information access and correction.",DATA MANAGEMENT AND PROTECTION
DM.FDDP.V1,Facility directory disclosure process established,DATA MANAGEMENT AND PROTECTION,"Establish and maintain a documented process for including protected health information (PHI) in facility directories, ensuring individuals are informed and given the opportunity to agree or object to such disclosures.",DATA MANAGEMENT AND PROTECTION
DM.FCNP.V1,Full card numbers protected and hidden,DATA MANAGEMENT AND PROTECTION,"Implement different measures to protect full card numbers (i.e. PANs) such as hiding most of the number on screens and receipts with something like asterisks (\*\*\*\*\*\*\*). Establish a list of job roles who need full access, including a rationale why this is the case.Set up your payment system so that it only shows full numbers to people on your access list. Be extra careful with remote access and set up controls to only let those with a real business need copy card numbers.Train your staff accordingly. Review access rights to full card numbers regularly and check your system configurations.",DATA MANAGEMENT AND PROTECTION
DM.HGPC.V1,Honor Global Privacy Control (GPC) Signals,DATA MANAGEMENT AND PROTECTION,Detect and honor Global Privacy Control (GPC) signals from users’ browsers or devices in accordance with CCPA requirements. It automatically respects users’ preferences to opt out of the sale or sharing of their personal information. The control also logs and monitors signal processing to maintain compliance and provide evidence of adherence to consumer privacy requests.,DATA MANAGEMENT AND PROTECTION
DM.IB.V1,Information backup,DATA MANAGEMENT AND PROTECTION,"Backup copies of information, software and systems shall be maintained and regularly tested in accordance with the agreed topic-specific policy on backup.",DATA MANAGEMENT AND PROTECTION
DM.ID.V1,Information deletion,DATA MANAGEMENT AND PROTECTION,"Information stored in information systems, devices or in any other storage media shall be deleted when no longer required.",DATA MANAGEMENT AND PROTECTION
DM.IT.V1,Information transfer,DATA MANAGEMENT AND PROTECTION,"Information transfer rules, procedures, or agreements shall be in place for all types of transfer facilities within the organization and between the organization and other parties.",DATA MANAGEMENT AND PROTECTION
DM.IVU.V1,Input validation used,DATA MANAGEMENT AND PROTECTION,Implement input validation checks across all system interfaces to ensure data completeness and accuracy before processing. These checks should verify that data meets specified format requirements and business rules.,DATA MANAGEMENT AND PROTECTION
DM.KMPI.V1,Key management process implemented,DATA MANAGEMENT AND PROTECTION,Implement a key management system covering the entire lifecycle of cryptographic keys.,DATA MANAGEMENT AND PROTECTION
DM.LOI.V1,Labelling of information,DATA MANAGEMENT AND PROTECTION,An appropriate set of procedures for information labelling shall be developed and implemented in accordance with the information classification scheme adopted by the organization.,DATA MANAGEMENT AND PROTECTION
DM.MROP.V1,Maintain Record of Processing Activities,DATA MANAGEMENT AND PROTECTION,The organization must maintain a comprehensive and regularly updated record of all personal information processing activities to demonstrate compliance with CCPA.,DATA MANAGEMENT AND PROTECTION
DM.MAFA.V1,Media accounted for and documented during transportation,DATA MANAGEMENT AND PROTECTION,"Establish a process to protect and control system media containing CUI during transport outside of controlled areas. Ensure accountability through documented activities and tracking of media to prevent loss, tampering, or destruction.",DATA MANAGEMENT AND PROTECTION
DM.MPS.V1,Media physically secured,DATA MANAGEMENT AND PROTECTION,"Implement physical security measures such as storing all media (like paper documents, laptops, USB drives) in locked cabinets and restricting access to only authorized personnel. Develop a system to classify all media based on the sensitivity of the data it contains. Maintain an inventory for all media, both electronic and physical, and conduct a full inventory check at least once every 12 months.Establish procedures for secure distribution (e.g., logging of all media sent outside the facility, using secure couriers). Obtain management approval before moving any media offsite.Create and log procedures for secure destruction (e.g., shredding paper, secure data wiping methods).Train employees at least yearly so that they can identify and manage this type of confidential data.",DATA MANAGEMENT AND PROTECTION
DM.NOPP.V1,Notice of privacy practices created and distributed,DATA MANAGEMENT AND PROTECTION,"Distribute a Notice of Privacy Practices (NPP) to patients, informing them of their rights under HIPAA and how their PHI will be used and disclosed.",DATA MANAGEMENT AND PROTECTION
DM.PHIA.V1,PHI access and amendment requests managed,DATA MANAGEMENT AND PROTECTION,Establish and maintain a documented process to manage individuals' requests for accessing and amending their protected health information (PHI).,DATA MANAGEMENT AND PROTECTION
DM.PHID.V1,PHI disclosure records maintained,DATA MANAGEMENT AND PROTECTION,"Establish a system to track disclosures of PHI, ensuring records of disclosures meet HIPAA requirements for accountability and transparency.",DATA MANAGEMENT AND PROTECTION
DM.PAFP.V1,Patient authorization for PHI use and disclosure obtained,DATA MANAGEMENT AND PROTECTION,"Require and maintain patient authorizations for the use or disclosure of PHI outside of permitted purposes (treatment, payment, and healthcare operations).",DATA MANAGEMENT AND PROTECTION
DM.PAPO.V1,Privacy and protection of PII,DATA MANAGEMENT AND PROTECTION,The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.,DATA MANAGEMENT AND PROTECTION
DM.PDAN.V1,Privacy disclosure and notification mechanisms established,DATA MANAGEMENT AND PROTECTION,"Implement and maintain active communication channels for informing individuals about specific instances of personal data collection, use, and disclosure. The goal is to provide timely, context-specific privacy information beyond what's in the general privacy policy.Develop templates for data sharing, policy changes, and breach notifications so they can be sent to the relevant stakeholders when needed. This includes identifying relevant authorities, setting up systems to deliver these notices via appropriate channels (e.g., app, email), and establishing a process to handle responses to these notifications.Regularly review and update these mechanisms.",DATA MANAGEMENT AND PROTECTION
DM.PPCA.V1,Privacy policy created and maintained,DATA MANAGEMENT AND PROTECTION,"A privacy policy is developed, regularly updated, and made accessible to all relevant parties. The goal is to enable transparent communication of data handling practices and to protect individuals' privacy rights.",DATA MANAGEMENT AND PROTECTION
DM.PIPE.V1,Processing integrity policy established,DATA MANAGEMENT AND PROTECTION,"Establish systematic controls in your processing integrity policy that ensure the completeness, accuracy, validity, timeliness, and authorization of system processing while maintaining data quality throughout the entire processing lifecycle.",DATA MANAGEMENT AND PROTECTION
DM.RCGA.V1,Record copies generated and export enabled,DATA MANAGEMENT AND PROTECTION,Enable generating complete and precise copies of electronic records in both human‑readable and electronic formats for regulatory examination.,DATA MANAGEMENT AND PROTECTION
DM.RTDR.V1,Right to Delete Request Handling,DATA MANAGEMENT AND PROTECTION,"The organization must configure a system to handle Right-to-delete management. Under CCPA, the user has a right to have their data deleted upon request.",DATA MANAGEMENT AND PROTECTION
DM.RTLU.V1,Right to Limit Use of Sensitive PI,DATA MANAGEMENT AND PROTECTION,"The organization must configure a system to handle Right-to-limit use of SPI. Under CCPA, the user has a right to have their sensitive data not be shared upon request.",DATA MANAGEMENT AND PROTECTION
DM.IRTO.V1,Right to Opt out of Sale and Sharing,DATA MANAGEMENT AND PROTECTION,"The organization must configure a system to handle Right-to-Opt-out of sale. Under CCPA, the user has a right to have their data not be shared upon request.",DATA MANAGEMENT AND PROTECTION
DM.RTKR.V1,Right-to-Know Request Handling,DATA MANAGEMENT AND PROTECTION,"The organization must configure a system to handle Right-to-know management. Under CCPA, the user has a right to know what data of theirs has been collected.",DATA MANAGEMENT AND PROTECTION
DM.RSPT.V1,Role-Specific Privacy Training,DATA MANAGEMENT AND PROTECTION,"This control ensures that all employees receive role-specific privacy training to understand their responsibilities under the CCPA and related privacy laws. The training covers the handling of personal information, consumer rights, and organizational policies for protecting data. Completion is tracked, and refresher sessions are provided periodically to maintain awareness and compliance across the workforce.",DATA MANAGEMENT AND PROTECTION
