controlId,title,family,description,subFamily
RSK-02,Risk-Based Security Categorization,Risk Management,"Mechanisms exist to categorize Technology Assets, Applications, Services and/or Data (TAASD) in accordance with applicable laws, regulations and contractual obligations that: (1) Document the security categorization results (including supporting rationale) in the security plan for systems; and (2) Ensure the security categorization decision is reviewed and approved by the asset owner.",Identify
RSK-02.1,Impact-Level Prioritization,Risk Management,"Mechanisms exist to prioritize the impact level for Technology Assets, Applications and/or Services (TAAS) to prevent potential disruptions.",Identify
RSK-03,Risk Identification,Risk Management,"Mechanisms exist to identify and document risks, both internal and external.",Identify
RSK-03.1,Risk Catalog,Risk Management,Mechanisms exist to develop and keep current a catalog of applicable risks associated with the organization's business operations and technologies in use.,Protect
RSK-04,Risk Assessment,Risk Management,"Mechanisms exist to conduct recurring assessments of risk that includes the likelihood and magnitude of harm, from unauthorized access, use, disclosure, disruption, modification or destruction of the organization's Technology Assets, Applications, Services and/or Data (TAASD).",Identify
RSK-04.1,Risk Register,Risk Management,Mechanisms exist to maintain a risk register that facilitates monitoring and reporting of risks.,Identify
RSK-04.2,Risk Assessment Methodology,Risk Management,"Mechanisms exist to implement a risk assessment methodology to ensure coverage for organizational components relevant for secure, compliant and resilient operations.",Identify
RSK-04.3,Instances Requiring A Risk Assessment,Risk Management,Mechanisms exist to define instances that require a risk assessment to be performed.,Identify
RSK-04.4,Risk Assessment Stakeholder Involvement,Risk Management,"Mechanisms exist to: (1) Define applicable stakeholders for each risk assessment; (2) Involve identified stakeholders in the risk assessment process; and (3) Provide identified stakeholders with results of the risk assessment, upon completion.",Protect
RSK-05,Risk Ranking,Risk Management,Mechanisms exist to identify and assign a risk ranking to newly discovered security vulnerabilities that is based on industry-recognized practices.,Identify
RSK-06,Risk Remediation,Risk Management,Mechanisms exist to remediate risks to an acceptable level.,Identify
RSK-06.1,Risk Response,Risk Management,"Mechanisms exist to respond to findings from cybersecurity and data protection assessments, incidents and audits to ensure proper remediation has been performed.",Identify
RSK-06.2,Compensating Countermeasures,Risk Management,Mechanisms exist to identify and implement compensating countermeasures to reduce risk and exposure to threats.,Respond
RSK-06.3,Risk Treatment Options,Risk Management,"Mechanisms exist to select appropriate risk treatment options, based on applicable risk assessment findings.",Protect
RSK-06.4,Risk Treatment Plan,Risk Management,Mechanisms exist to formalize a Risk Treatment Plan (RTP) that applicable stakeholders will utilize to remediate identified risks according to a defined timeline.,Protect
RSK-07,Risk Assessment Update,Risk Management,"Mechanisms exist to routinely update risk assessments and react accordingly upon identifying new security vulnerabilities, including using outside sources for security vulnerability information.",Identify
RSK-08,Business Impact Analysis (BIA),Risk Management,Mechanisms exist to conduct a Business Impact Analysis (BIA) to identify and assess cybersecurity and data protection risks.,Identify
RSK-09,Supply Chain Risk Management (SCRM) Plan,Risk Management,"Mechanisms exist to develop a plan for Supply Chain Risk Management (SCRM) associated with the development, acquisition, maintenance and disposal of Technology Assets, Applications and/or Services (TAAS), including documenting selected mitigating actions and monitoring performance against those plans.",Identify
RSK-09.1,Supply Chain Risk Assessment,Risk Management,"Mechanisms exist to periodically assess supply chain risks associated with Technology Assets, Applications and/or Services (TAAS).",Identify
RSK-09.2,AI & Autonomous Technologies Supply Chain Impacts,Risk Management,"Mechanisms exist to address Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks and benefits arising from the organization's supply chain, including third-party software and data.",Protect
